Inning_No.,Ball_No.,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,0.1,India,S Dhawan,Ishan Kishan,Mustafizur Rahman,0,0,,,,,,,
1,0.2,India,S Dhawan,Ishan Kishan,Mustafizur Rahman,0,0,,,,,,,
1,0.3,India,S Dhawan,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,0.4,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,0.5,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,0.6,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,1.1,India,S Dhawan,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,1.2,India,Ishan Kishan,S Dhawan,Taskin Ahmed,1,0,,,,,,,
1,1.3,India,S Dhawan,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,1.4,India,Ishan Kishan,S Dhawan,Taskin Ahmed,1,0,,,,,,,
1,1.5,India,S Dhawan,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,1.6,India,S Dhawan,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,2.1,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,1,1,,,,,,
1,2.2,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,4,0,,,,,,,
1,2.3,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,4,0,,,,,,,
1,2.4,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,2.5,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,2.6,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,0,0,,,,,,,
1,2.7,India,Ishan Kishan,S Dhawan,Mustafizur Rahman,1,0,,,,,,,
1,3.1,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,3.2,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,3.3,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,3.4,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,3.5,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,3.6,India,Ishan Kishan,S Dhawan,Taskin Ahmed,0,0,,,,,,,
1,4.1,India,S Dhawan,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,lbw,S Dhawan
1,4.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,4.3,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,4.4,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,4.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,4.6,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,5.1,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,5.2,India,Ishan Kishan,V Kohli,Taskin Ahmed,2,0,,,,,,,
1,5.3,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,5.4,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,5.5,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,5.6,India,Ishan Kishan,V Kohli,Taskin Ahmed,2,0,,,,,,,
1,6.1,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,6.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,6.3,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,6.4,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,4,0,,,,,,,
1,6.5,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,6.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,7.1,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,7.2,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,7.3,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,7.4,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,7.5,India,Ishan Kishan,V Kohli,Ebadat Hossain,4,0,,,,,,,
1,7.6,India,Ishan Kishan,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,8.1,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,8.2,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,8.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,8.4,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,8.5,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,8.6,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,9.1,India,V Kohli,Ishan Kishan,Ebadat Hossain,0,0,,,,,,,
1,9.2,India,V Kohli,Ishan Kishan,Ebadat Hossain,1,0,,,,,,,
1,9.3,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,9.4,India,Ishan Kishan,V Kohli,Ebadat Hossain,2,0,,,,,,,
1,9.5,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,9.6,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,10.1,India,V Kohli,Ishan Kishan,Shakib Al Hasan,0,0,,,,,,,
1,10.2,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,10.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,10.4,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,10.5,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,10.6,India,V Kohli,Ishan Kishan,Shakib Al Hasan,0,0,,,,,,,
1,11.1,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,11.2,India,Ishan Kishan,V Kohli,Ebadat Hossain,4,0,,,,,,,
1,11.3,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,4,,,,4,,,
1,11.4,India,Ishan Kishan,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,11.5,India,Ishan Kishan,V Kohli,Ebadat Hossain,6,0,,,,,,,
1,11.6,India,Ishan Kishan,V Kohli,Ebadat Hossain,4,0,,,,,,,
1,12.1,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,12.2,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,12.3,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,12.4,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,12.5,India,V Kohli,Ishan Kishan,Shakib Al Hasan,0,0,,,,,,,
1,12.6,India,V Kohli,Ishan Kishan,Shakib Al Hasan,2,0,,,,,,,
1,13.1,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,13.2,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,13.3,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,13.4,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,13.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,13.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,14.1,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,1,1,,,,,,
1,14.2,India,Ishan Kishan,V Kohli,Taskin Ahmed,1,0,,,,,,,
1,14.3,India,V Kohli,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,14.4,India,Ishan Kishan,V Kohli,Taskin Ahmed,1,0,,,,,,,
1,14.5,India,V Kohli,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,14.6,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,14.7,India,Ishan Kishan,V Kohli,Taskin Ahmed,2,0,,,,,,,
1,15.1,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,15.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,15.3,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,15.4,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,15.5,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,15.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,16.1,India,V Kohli,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,16.2,India,V Kohli,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,16.3,India,V Kohli,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,16.4,India,Ishan Kishan,V Kohli,Taskin Ahmed,6,0,,,,,,,
1,16.5,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,16.6,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,17.1,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,2,0,,,,,,,
1,17.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,17.3,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,17.4,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,17.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,17.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,18.1,India,V Kohli,Ishan Kishan,Mustafizur Rahman,0,0,,,,,,,
1,18.2,India,V Kohli,Ishan Kishan,Mustafizur Rahman,0,0,,,,,,,
1,18.3,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,18.4,India,Ishan Kishan,V Kohli,Mustafizur Rahman,0,0,,,,,,,
1,18.5,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,18.6,India,V Kohli,Ishan Kishan,Mustafizur Rahman,4,0,,,,,,,
1,19.1,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,19.2,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,19.3,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,19.4,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,19.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,19.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,20.1,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,20.2,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,20.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,20.4,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,20.5,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,20.6,India,V Kohli,Ishan Kishan,Shakib Al Hasan,0,0,,,,,,,
1,21.1,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,21.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,4,0,,,,,,,
1,21.3,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,21.4,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,21.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,21.6,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,22.1,India,V Kohli,Ishan Kishan,Shakib Al Hasan,4,0,,,,,,,
1,22.2,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,22.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,22.4,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,22.5,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,22.6,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,23.1,India,Ishan Kishan,V Kohli,Afif Hossain,4,0,,,,,,,
1,23.2,India,Ishan Kishan,V Kohli,Afif Hossain,1,0,,,,,,,
1,23.3,India,V Kohli,Ishan Kishan,Afif Hossain,3,0,,,,,,,
1,23.4,India,Ishan Kishan,V Kohli,Afif Hossain,4,0,,,,,,,
1,23.5,India,Ishan Kishan,V Kohli,Afif Hossain,1,0,,,,,,,
1,23.6,India,V Kohli,Ishan Kishan,Afif Hossain,1,0,,,,,,,
1,24.1,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,24.2,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,24.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,24.4,India,Ishan Kishan,V Kohli,Shakib Al Hasan,6,0,,,,,,,
1,24.5,India,Ishan Kishan,V Kohli,Shakib Al Hasan,0,0,,,,,,,
1,24.6,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,25.1,India,Ishan Kishan,V Kohli,Ebadat Hossain,6,0,,,,,,,
1,25.2,India,Ishan Kishan,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,25.3,India,V Kohli,Ishan Kishan,Ebadat Hossain,1,0,,,,,,,
1,25.4,India,Ishan Kishan,V Kohli,Ebadat Hossain,6,0,,,,,,,
1,25.5,India,Ishan Kishan,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,25.6,India,V Kohli,Ishan Kishan,Ebadat Hossain,0,0,,,,,,,
1,26.1,India,Ishan Kishan,V Kohli,Shakib Al Hasan,4,0,,,,,,,
1,26.2,India,Ishan Kishan,V Kohli,Shakib Al Hasan,6,0,,,,,,,
1,26.3,India,Ishan Kishan,V Kohli,Shakib Al Hasan,2,0,,,,,,,
1,26.4,India,Ishan Kishan,V Kohli,Shakib Al Hasan,6,0,,,,,,,
1,26.5,India,Ishan Kishan,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,26.6,India,V Kohli,Ishan Kishan,Shakib Al Hasan,1,0,,,,,,,
1,27.1,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,0,0,,,,,,,
1,27.2,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,27.3,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,6,0,,,,,,,
1,27.4,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,27.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,0,0,,,,,,,
1,27.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,28.1,India,Ishan Kishan,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,28.2,India,V Kohli,Ishan Kishan,Ebadat Hossain,1,0,,,,,,,
1,28.3,India,Ishan Kishan,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,28.4,India,V Kohli,Ishan Kishan,Ebadat Hossain,4,0,,,,,,,
1,28.5,India,V Kohli,Ishan Kishan,Ebadat Hossain,1,0,,,,,,,
1,28.6,India,Ishan Kishan,V Kohli,Ebadat Hossain,4,0,,,,,,,
1,29.1,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,29.2,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,6,0,,,,,,,
1,29.3,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,1,0,,,,,,,
1,29.4,India,V Kohli,Ishan Kishan,Mehedi Hasan Miraz,1,0,,,,,,,
1,29.5,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,29.6,India,Ishan Kishan,V Kohli,Mehedi Hasan Miraz,4,0,,,,,,,
1,30.1,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,30.2,India,Ishan Kishan,V Kohli,Mustafizur Rahman,0,0,,,,,,,
1,30.3,India,Ishan Kishan,V Kohli,Mustafizur Rahman,4,0,,,,,,,
1,30.4,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,30.5,India,V Kohli,Ishan Kishan,Mustafizur Rahman,4,0,,,,,,,
1,30.6,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,31.1,India,V Kohli,Ishan Kishan,Taskin Ahmed,0,1,1,,,,,,
1,31.2,India,V Kohli,Ishan Kishan,Taskin Ahmed,4,0,,,,,,,
1,31.3,India,V Kohli,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,31.4,India,V Kohli,Ishan Kishan,Taskin Ahmed,4,0,,,,,,,
1,31.5,India,V Kohli,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,31.6,India,Ishan Kishan,V Kohli,Taskin Ahmed,2,0,,,,,,,
1,31.7,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,32.1,India,V Kohli,Ishan Kishan,Mustafizur Rahman,0,0,,,,,,,
1,32.2,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,32.3,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,32.4,India,V Kohli,Ishan Kishan,Mustafizur Rahman,2,0,,,,,,,
1,32.5,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,32.6,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,33.1,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,33.2,India,Ishan Kishan,V Kohli,Taskin Ahmed,1,0,,,,,,,
1,33.3,India,V Kohli,Ishan Kishan,Taskin Ahmed,4,0,,,,,,,
1,33.4,India,V Kohli,Ishan Kishan,Taskin Ahmed,0,0,,,,,,,
1,33.5,India,V Kohli,Ishan Kishan,Taskin Ahmed,1,0,,,,,,,
1,33.6,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,34.1,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,34.2,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,34.3,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,34.4,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,34.5,India,V Kohli,Ishan Kishan,Mustafizur Rahman,1,0,,,,,,,
1,34.6,India,Ishan Kishan,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,35.1,India,Ishan Kishan,V Kohli,Taskin Ahmed,4,0,,,,,,,
1,35.2,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,35.3,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,,
1,35.4,India,Ishan Kishan,V Kohli,Taskin Ahmed,6,0,,,,,,,
1,35.5,India,Ishan Kishan,V Kohli,Taskin Ahmed,0,0,,,,,,caught,Ishan Kishan
1,35.6,India,SS Iyer,V Kohli,Taskin Ahmed,1,0,,,,,,,
1,36.1,India,SS Iyer,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,36.2,India,SS Iyer,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,36.3,India,SS Iyer,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,36.4,India,V Kohli,SS Iyer,Ebadat Hossain,2,0,,,,,,,
1,36.5,India,V Kohli,SS Iyer,Ebadat Hossain,4,0,,,,,,,
1,36.6,India,V Kohli,SS Iyer,Ebadat Hossain,1,0,,,,,,,
1,37.1,India,V Kohli,SS Iyer,Shakib Al Hasan,0,0,,,,,,,
1,37.2,India,V Kohli,SS Iyer,Shakib Al Hasan,4,0,,,,,,,
1,37.3,India,V Kohli,SS Iyer,Shakib Al Hasan,1,0,,,,,,,
1,37.4,India,SS Iyer,V Kohli,Shakib Al Hasan,1,0,,,,,,,
1,37.5,India,V Kohli,SS Iyer,Shakib Al Hasan,0,0,,,,,,,
1,37.6,India,V Kohli,SS Iyer,Shakib Al Hasan,0,0,,,,,,,
1,38.1,India,SS Iyer,V Kohli,Ebadat Hossain,0,0,,,,,,caught,SS Iyer
1,38.2,India,KL Rahul,V Kohli,Ebadat Hossain,2,0,,,,,,,
1,38.3,India,KL Rahul,V Kohli,Ebadat Hossain,1,0,,,,,,,
1,38.4,India,V Kohli,KL Rahul,Ebadat Hossain,6,0,,,,,,,
1,38.5,India,V Kohli,KL Rahul,Ebadat Hossain,1,0,,,,,,,
1,38.6,India,KL Rahul,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,39.1,India,V Kohli,KL Rahul,Mustafizur Rahman,6,0,,,,,,,
1,39.2,India,V Kohli,KL Rahul,Mustafizur Rahman,1,0,,,,,,,
1,39.3,India,KL Rahul,V Kohli,Mustafizur Rahman,0,0,,,,,,,
1,39.4,India,KL Rahul,V Kohli,Mustafizur Rahman,0,0,,,,,,,
1,39.5,India,KL Rahul,V Kohli,Mustafizur Rahman,1,0,,,,,,,
1,39.6,India,V Kohli,KL Rahul,Mustafizur Rahman,1,0,,,,,,,
1,40.1,India,V Kohli,KL Rahul,Ebadat Hossain,1,0,,,,,,,
1,40.2,India,KL Rahul,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,40.3,India,KL Rahul,V Kohli,Ebadat Hossain,4,0,,,,,,,
1,40.4,India,KL Rahul,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,40.5,India,KL Rahul,V Kohli,Ebadat Hossain,0,0,,,,,,bowled,KL Rahul
1,40.6,India,Washington Sundar,V Kohli,Ebadat Hossain,0,0,,,,,,,
1,41.1,India,V Kohli,Washington Sundar,Shakib Al Hasan,0,0,,,,,,caught,V Kohli
